%  ASCII export :
%
%  Momentum is normalized to the product of particle's mass and speed of light.
%  All other quantities are in SI units.
%
%   posX              posY              posZ              momX              momY              momZ              mass              charge            macro-charge      time             particleID   sourceID

     0.0000000e+00    -1.0000000e-03     0.0000000e+00     0.0000000e+00     0.0000000e+00     1.0770000e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28    -5.5185787e-04   0            16777216
     0.0000000e+00    -1.0000000e-03     0.0000000e+00     0.0000000e+00     0.0000000e+00     1.0770000e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     0.0000000e+00   0            16777216
     2.7469973e-06    -9.9999120e-04     6.0642033e-04     9.7623207e-03     3.1307867e-05     1.0769558e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.7603474e-03   0            16777216
     9.9055878e-06    -9.9996850e-04     1.0915562e-03     1.9573042e-02     6.1959545e-05     1.0768222e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     4.9688369e-03   0            16777216
     2.1497379e-05    -9.9993206e-04     1.5766062e-03     2.9431460e-02     9.1930611e-05     1.0765978e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     7.1773264e-03   0            16777216
     3.7543654e-05    -9.9988235e-04     2.0615296e-03     3.9336849e-02     1.2119640e-04     1.0762814e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     9.3858158e-03   0            16777216
     5.8065365e-05    -9.9981972e-04     2.5462839e-03     4.9288459e-02     1.4973198e-04     1.0758716e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.1594306e-02   0            16777216
     8.3083112e-05    -9.9974440e-04     3.0308270e-03     5.9285507e-02     1.7751218e-04     1.0753670e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.3802795e-02   0            16777216
     1.1261714e-04    -9.9965686e-04     3.5151157e-03     6.9327198e-02     2.0451157e-04     1.0747664e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.6011285e-02   0            16777216
     1.4668734e-04    -9.9955732e-04     3.9991066e-03     7.9412691e-02     2.3070449e-04     1.0740682e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.8219775e-02   0            16777216
     1.8531346e-04    -9.9944614e-04     4.4827550e-03     8.9542776e-02     2.5607937e-04     1.0732712e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.0428263e-02   0            16777216
     2.2851682e-04    -9.9932391e-04     4.9660159e-03     9.9721283e-02     2.8065097e-04     1.0723734e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.2636753e-02   0            16777216
     2.7631910e-04    -9.9919073e-04     5.4488443e-03     1.0994757e-01     3.0439452e-04     1.0713731e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.4845243e-02   0            16777216
     3.2874153e-04    -9.9904719e-04     5.9311921e-03     1.2022067e-01     3.2728241e-04     1.0702691e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.7053732e-02   0            16777216
     3.8580500e-04    -9.9889340e-04     6.4130132e-03     1.3053960e-01     3.4928674e-04     1.0690595e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.9262220e-02   0            16777216
     4.4752978e-04    -9.9873007e-04     6.8942592e-03     1.4090332e-01     3.7037939e-04     1.0677429e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     3.1470712e-02   0            16777216
     5.1393575e-04    -9.9855755e-04     7.3748822e-03     1.5131077e-01     3.9053196e-04     1.0663179e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     3.3679198e-02   0            16777216
     5.8504241e-04    -9.9837617e-04     7.8548314e-03     1.6176087e-01     4.0971578e-04     1.0647827e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     3.5887688e-02   0            16777216
     6.6086854e-04    -9.9818641e-04     8.3340583e-03     1.7225248e-01     4.2790192e-04     1.0631359e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     3.8096178e-02   0            16777216
     7.4143260e-04    -9.9798886e-04     8.8125113e-03     1.8278445e-01     4.4504850e-04     1.0613759e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     4.0304668e-02   0            16777216
     8.2675234e-04    -9.9778373e-04     9.2901383e-03     1.9335556e-01     4.6111693e-04     1.0595011e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     4.2513158e-02   0            16777216
     9.1684511e-04    -9.9757174e-04     9.7668888e-03     2.0396461e-01     4.7607519e-04     1.0575099e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     4.4721648e-02   0            16777216
     1.0117277e-03    -9.9735335e-04     1.0242710e-02     2.1461029e-01     4.8989104e-04     1.0554010e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     4.6930138e-02   0            16777216
     1.1114161e-03    -9.9712901e-04     1.0717546e-02     2.2529134e-01     5.0253194e-04     1.0531726e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     4.9138628e-02   0            16777216
     1.2159260e-03    -9.9689944e-04     1.1191345e-02     2.3600638e-01     5.1396526e-04     1.0508233e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     5.1347114e-02   0            16777216
     1.3252723e-03    -9.9666498e-04     1.1664051e-02     2.4675405e-01     5.2415807e-04     1.0483516e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     5.3555604e-02   0            16777216
     1.4394693e-03    -9.9642633e-04     1.2135608e-02     2.5753292e-01     5.3307728e-04     1.0457560e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     5.5764094e-02   0            16777216
     1.5585306e-03    -9.9618395e-04     1.2605961e-02     2.6834229e-01     5.4069585e-04     1.0430346e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     5.7972584e-02   0            16777216
     1.6824713e-03    -9.9593855e-04     1.3075052e-02     2.7918604e-01     5.4702943e-04     1.0401845e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     6.0181074e-02   0            16777216
     1.8113066e-03    -9.9569059e-04     1.3542823e-02     2.9006374e-01     5.5205298e-04     1.0372038e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     6.2389564e-02   0            16777216
     1.9450515e-03    -9.9544087e-04     1.4009212e-02     3.0097377e-01     5.5573083e-04     1.0340906e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     6.4598054e-02   0            16777216
     2.0837202e-03    -9.9518977e-04     1.4474162e-02     3.1191441e-01     5.5802724e-04     1.0308434e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     6.6806540e-02   0            16777216
     2.2273257e-03    -9.9493808e-04     1.4937611e-02     3.2288396e-01     5.5890612e-04     1.0274603e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     6.9015034e-02   0            16777216
     2.3758807e-03    -9.9468639e-04     1.5399497e-02     3.3388060e-01     5.5833132e-04     1.0239396e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     7.1223520e-02   0            16777216
     2.5293971e-03    -9.9443540e-04     1.5859758e-02     3.4490249e-01     5.5626646e-04     1.0202799e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     7.3432013e-02   0            16777216
     2.6878854e-03    -9.9418580e-04     1.6318331e-02     3.5594776e-01     5.5267499e-04     1.0164791e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     7.5640500e-02   0            16777216
     2.8513556e-03    -9.9393819e-04     1.6775152e-02     3.6701453e-01     5.4751325e-04     1.0125359e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     7.7848993e-02   0            16777216
     3.0198169e-03    -9.9369336e-04     1.7230155e-02     3.7810075e-01     5.4070790e-04     1.0084486e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     8.0057479e-02   0            16777216
     3.1932776e-03    -9.9345215e-04     1.7683275e-02     3.8920441e-01     5.3221436e-04     1.0042155e+00     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     8.2265966e-02   0            16777216
     3.3717453e-03    -9.9321525e-04     1.8134449e-02     4.0032348e-01     5.2199280e-04     9.9983490e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     8.4474459e-02   0            16777216
     3.5552257e-03    -9.9298335e-04     1.8583603e-02     4.1145581e-01     5.1000324e-04     9.9530542e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     8.6682945e-02   0            16777216
     3.7437242e-03    -9.9275738e-04     1.9030679e-02     4.2259920e-01     4.9620576e-04     9.9062538e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     8.8891439e-02   0            16777216
     3.9372458e-03    -9.9253817e-04     1.9475602e-02     4.3375146e-01     4.8056015e-04     9.8579329e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     9.1099925e-02   0            16777216
     4.1357935e-03    -9.9232665e-04     1.9918306e-02     4.4491029e-01     4.6302640e-04     9.8080766e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     9.3308419e-02   0            16777216
     4.3393690e-03    -9.9212339e-04     2.0358717e-02     4.5607337e-01     4.4356444e-04     9.7566688e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     9.5516905e-02   0            16777216
     4.5479741e-03    -9.9192956e-04     2.0796770e-02     4.6723869e-01     4.2213759e-04     9.7036940e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     9.7725391e-02   0            16777216
     4.7616111e-03    -9.9174585e-04     2.1232395e-02     4.7840929e-01     3.9875420e-04     9.6491110e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     9.9933885e-02   0            16777216
     4.9802815e-03    -9.9157332e-04     2.1665512e-02     4.8958421e-01     3.7338660e-04     9.5928943e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.0214237e-01   0            16777216
     5.1475889e-03    -9.9145167e-04     2.1988660e-02     4.9796659e-01     3.5303092e-04     9.5496500e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.0379874e-01   0            16777216
     5.3177280e-03    -9.9133723e-04     2.2310326e-02     5.0634873e-01     3.3150864e-04     9.5054716e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.0545511e-01   0            16777216
     5.4906989e-03    -9.9123025e-04     2.2630481e-02     5.1472944e-01     3.0880127e-04     9.4603515e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.0711148e-01   0            16777216
     5.6665009e-03    -9.9113130e-04     2.2949088e-02     5.2310753e-01     2.8489062e-04     9.4142842e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.0876784e-01   0            16777216
